Reporter Countries,Partner Countries,export_qty_t,partner_total_from_reporters,dependency_pct
Pakistan,Afghanistan,4670060.6899999995,4738866.859999999,98.5
India,Afghanistan,27765.21,4738866.859999999,0.6
United States of America,Afghanistan,26635.0,4738866.859999999,0.6
Italy,Afghanistan,6645.13,4738866.859999999,0.1
Kazakhstan,Afghanistan,6167.04,4738866.859999999,0.1
France,Afghanistan,26.0,4738866.859999999,0.0
Russian Federation,Afghanistan,449.0,4738866.859999999,0.0
Spain,Afghanistan,21.0,4738866.859999999,0.0
Thailand,Afghanistan,329.01,4738866.859999999,0.0
TÃ¼rkiye,Afghanistan,768.78,4738866.859999999,0.0
Egypt,Albania,76606.54,355640.55,21.5
Italy,Albania,53527.21,355640.55,15.1
Spain,Albania,43559.87,355640.55,12.2
Pakistan,Albania,37090.75,355640.55,10.4
Greece,Albania,30020.55,355640.55,8.4
Russian Federation,Albania,26204.78,355640.55,7.4
TÃ¼rkiye,Albania,25630.95,355640.55,7.2
Portugal,Albania,17100.6,355640.55,4.8
Thailand,Albania,12919.45,355640.55,3.6
United States of America,Albania,10579.44,355640.55,3.0
Bulgaria,Albania,8161.55,355640.55,2.3
India,Albania,7008.7,355640.55,2.0
Argentina,Albania,5700.0,355640.55,1.6
Uruguay,Albania,1008.0,355640.55,0.3
Paraguay,Albania,520.0,355640.55,0.1
France,Albania,2.16,355640.55,0.0
India,Algeria,1101362.69,2477436.75,44.5
Thailand,Algeria,671735.52,2477436.75,27.1
Viet Nam,Algeria,358188.87,2477436.75,14.5
Pakistan,Algeria,109316.01,2477436.75,4.4
Spain,Algeria,95862.99,2477436.75,3.9
United States of America,Algeria,62814.0,2477436.75,2.5
TÃ¼rkiye,Algeria,31166.6,2477436.75,1.3
Uruguay,Algeria,19607.06,2477436.75,0.8
Italy,Algeria,15726.42,2477436.75,0.6
Argentina,Algeria,9248.7,2477436.75,0.4
Egypt,Algeria,1280.97,2477436.75,0.1
France,Algeria,464.02000000000004,2477436.75,0.0
Niger,Algeria,45.0,2477436.75,0.0
Paraguay,Algeria,26.0,2477436.75,0.0
Portugal,Algeria,591.9,2477436.75,0.0
Thailand,Angola,4709035.59,6911405.6899999995,68.1
India,Angola,1496237.95,6911405.6899999995,21.6
Viet Nam,Angola,346759.77,6911405.6899999995,5.0
Pakistan,Angola,164313.97,6911405.6899999995,2.4
Uruguay,Angola,61899.4,6911405.6899999995,0.9
Argentina,Angola,48363.0,6911405.6899999995,0.7
Portugal,Angola,33268.12,6911405.6899999995,0.5
United States of America,Angola,26500.03,6911405.6899999995,0.4
Guyana,Angola,11000.0,6911405.6899999995,0.2
Spain,Angola,7818.04,6911405.6899999995,0.1
Egypt,Angola,154.0,6911405.6899999995,0.0
France,Angola,86.14,6911405.6899999995,0.0
Italy,Angola,2006.17,6911405.6899999995,0.0
Paraguay,Angola,3008.0,6911405.6899999995,0.0
TÃ¼rkiye,Angola,955.31,6911405.6899999995,0.0
United Republic of Tanzania,Angola,0.2,6911405.6899999995,0.0
Guyana,Antigua and Barbuda,14256.07,17012.96,83.8
United States of America,Antigua and Barbuda,2462.45,17012.96,14.5
Uruguay,Antigua and Barbuda,130.6,17012.96,0.8
TÃ¼rkiye,Antigua and Barbuda,67.27,17012.96,0.4
Bulgaria,Antigua and Barbuda,27.0,17012.96,0.2
India,Antigua and Barbuda,27.34,17012.96,0.2
Italy,Antigua and Barbuda,18.06,17012.96,0.1
Thailand,Antigua and Barbuda,21.0,17012.96,0.1
France,Antigua and Barbuda,0.7,17012.96,0.0
Portugal,Antigua and Barbuda,2.38,17012.96,0.0
Spain,Antigua and Barbuda,0.09,17012.96,0.0
Uruguay,Argentina,62445.5,126148.33,49.5
Paraguay,Argentina,50847.21,126148.33,40.3
United States of America,Argentina,6451.91,126148.33,5.1
Italy,Argentina,1499.06,126148.33,1.2
India,Argentina,1414.48,126148.33,1.1
Pakistan,Argentina,1389.97,126148.33,1.1
Viet Nam,Argentina,848.66,126148.33,0.7
Thailand,Argentina,695.73,126148.33,0.6
Spain,Argentina,323.81,126148.33,0.3
Egypt,Argentina,219.0,126148.33,0.2
Greece,Argentina,3.0,126148.33,0.0
TÃ¼rkiye,Argentina,10.0,126148.33,0.0
Russian Federation,Armenia,10418.66,28462.719999999998,36.6
